σz	Ms
-1.00E-01	38.11122158
-2.00E-01	34.72949974
-3.00E-01	31.3165323
-4.00E-01	29.8482849
-5.00E-01	29.03714286
-6.00E-01	28.52633251
-7.00E-01	28.94999884
-8.00E-01	29.63775477
-9.00E-01	30.48012599
-1.00E+00	31.40674912
-1.10E+00	32.3822881
-1.20E+00	33.38351618
-1.30E+00	34.4032497
-1.40E+00	35.43063456
-1.50E+00	36.46031852
-1.60E+00	37.48898234
-1.70E+00	38.51437112
-1.80E+00	39.53496861
-1.90E+00	40.54976691
-2.00E+00	41.55810909
-2.10E+00	42.55800352
-2.20E+00	43.55235668
-2.30E+00	44.53970002
-2.40E+00	45.51968257
-2.50E+00	46.49239173
-2.60E+00	47.45792535
-2.70E+00	48.41638869
-2.80E+00	49.36790307
-2.90E+00	50.31260785
-3.00E+00	51.25065172
-3.10E+00	52.18218754
-3.20E+00	53.10737032
-3.30E+00	54.02635681
-3.40E+00	54.93930088
-3.50E+00	55.8463564
-3.60E+00	56.7464919
-3.70E+00	57.64328903
-3.80E+00	58.53272416
-3.90E+00	59.41740232
-4.00E+00	60.29727279
-4.10E+00	61.17210467
-4.20E+00	62.0419632
-4.30E+00	62.90700466
-4.40E+00	63.76736275
-4.50E+00	64.62314867
-4.60E+00	65.47446957
-4.70E+00	66.32143116
-4.80E+00	67.16413368
-4.90E+00	68.00267592
-5.00E+00	68.83715352
-5.10E+00	69.6676551
-5.20E+00	70.49427153
-5.30E+00	71.3170861
-5.40E+00	72.13618061
-5.50E+00	72.95163385
-5.60E+00	73.76352378
-5.70E+00	74.5719238
-5.80E+00	75.37690467
-5.90E+00	76.17853553
-6.00E+00	76.97688278
-6.10E+00	77.77099456
-6.20E+00	78.56375421
-6.30E+00	79.35204895
-6.40E+00	80.13854953
-6.50E+00	80.92078088
-6.60E+00	81.7013408
-6.70E+00	82.47781171
-6.80E+00	83.25265274
-6.90E+00	84.0235605
-7.00E+00	84.79189731
-7.10E+00	85.55793504
-7.20E+00	86.32148957
-7.30E+00	87.0824308
-7.40E+00	87.84077904
-7.50E+00	88.59660985
-7.60E+00	89.34998602
-7.70E+00	90.10095027
-7.80E+00	90.84953681
-7.90E+00	91.59577888
-8.00E+00	92.3397143
-8.10E+00	93.08137836
-8.20E+00	93.8208061
-8.30E+00	94.55803257
-8.40E+00	95.29308972
-8.50E+00	96.0260099
-8.60E+00	96.75682269
-8.70E+00	97.48556163
-8.80E+00	98.21225461
-8.90E+00	98.93693046
-9.00E+00	99.65961811
-9.10E+00	100.3803444
-9.20E+00	101.0991377
-9.30E+00	101.8160234
-9.40E+00	102.5310264
-9.50E+00	103.2441743
-9.60E+00	103.955489
-9.70E+00	104.6649955
-9.80E+00	105.3727172
-9.90E+00	106.0786768
-1.00E+01	106.7828977
-1.01E+01	107.4854015
-1.02E+01	108.1862086
-1.03E+01	108.8853397
-1.04E+01	109.5828172
-1.05E+01	110.2776733
-1.06E+01	110.9724061
-1.07E+01	111.6645836
-1.08E+01	112.3562449
-1.09E+01	113.0452907
-1.10E+01	113.7337352
-1.11E+01	114.4196663
-1.12E+01	115.105084
-1.13E+01	115.7880548
-1.14E+01	116.4705107
-1.15E+01	117.1505705
-1.16E+01	117.830115
-1.17E+01	118.5073219
-1.18E+01	119.1840242
-1.19E+01	119.8584429
-1.20E+01	120.5323637
-1.21E+01	121.2040531
-1.22E+01	121.8752485
-1.23E+01	122.5442701
-1.24E+01	123.2128057
-1.25E+01	123.8792029
-1.26E+01	124.5451261
-1.27E+01	125.2089609
-1.28E+01	125.8713147
-1.29E+01	126.5338428
-1.30E+01	127.1942351
-1.31E+01	127.8529882
-1.32E+01	128.5116415
-1.33E+01	129.1682748
-1.34E+01	129.8233869
-1.35E+01	130.4784771
-1.36E+01	131.1315953
-1.37E+01	131.7832291
-1.38E+01	132.4347984
-1.39E+01	133.0844622
-1.40E+01	133.7326718
-1.41E+01	134.3798442
-1.42E+01	135.0272213
-1.43E+01	135.6726331
-1.44E+01	136.3164936
-1.45E+01	136.9592459
-1.46E+01	137.6011298
-1.47E+01	138.2421913
-1.48E+01	138.8823071
-1.49E+01	139.5213911
-1.50E+01	140.1593818
-1.51E+01	140.7962954
-1.52E+01	141.4321607
-1.53E+01	142.0670194
-1.54E+01	142.7008867
-1.55E+01	143.3337772
-1.56E+01	143.9657052
-1.57E+01	144.5966578
-1.58E+01	145.2266349
-1.59E+01	145.8556493
-1.60E+01	146.4837134
-1.61E+01	147.1108256
-1.62E+01	147.737011
-1.63E+01	148.3622672
-1.64E+01	148.9866185
-1.65E+01	149.6100346
-1.66E+01	150.2325528
-1.67E+01	150.8541688
-1.68E+01	151.4748921
-1.69E+01	152.0947314
-1.70E+01	152.7136954
-1.71E+01	153.3317785
-1.72E+01	153.9490022
-1.73E+01	154.5653742
-1.74E+01	155.1808879
-1.75E+01	155.7955499
-1.76E+01	156.409367
-1.77E+01	157.0223593
-1.78E+01	157.6345187
-1.79E+01	158.2458649
-1.80E+01	158.8563753
-1.81E+01	159.4660969
-1.82E+01	160.0750066
-1.83E+01	160.6831087
-1.84E+01	161.2904215
-1.85E+01	161.8969492
-1.86E+01	162.5026953
-1.87E+01	163.1076633
-1.88E+01	163.7118563
-1.89E+01	164.3152917
-1.90E+01	164.9179577
-1.91E+01	165.5198711
-1.92E+01	166.1210341
-1.93E+01	166.721463
-1.94E+01	167.3211309
-1.95E+01	167.920068
-1.96E+01	168.5182755
-1.97E+01	169.1157692
-1.98E+01	169.7125207
-1.99E+01	170.3085743
-2.00E+01	170.9039013
-2.01E+01	171.4985311
-2.02E+01	172.0924491
-2.03E+01	172.6856696
-2.04E+01	173.2782071
-2.05E+01	173.8700461
-2.06E+01	174.4612007
-2.07E+01	175.0516698
-2.08E+01	175.6414671
-2.09E+01	176.2305912
-2.10E+01	176.8190555
-2.11E+01	177.4068433
-2.12E+01	177.9939677
-2.13E+01	178.5804414
-2.14E+01	179.1662624
-2.15E+01	179.751443
-2.16E+01	180.3359659
-2.17E+01	180.9198583
-2.18E+01	181.5031172
-2.19E+01	182.0857246
-2.20E+01	182.6677226
-2.21E+01	183.2490775
-2.22E+01	183.8298312
-2.23E+01	184.4099498
-2.24E+01	184.9894597
-2.25E+01	185.5683571
-2.26E+01	186.1466378
-2.27E+01	186.724328
-2.28E+01	187.3014081
-2.29E+01	187.8779043
-2.30E+01	188.4537964
-2.31E+01	189.029095
-2.32E+01	189.6038106
-2.33E+01	190.177938
-2.34E+01	190.7514875
-2.35E+01	191.3244537
-2.36E+01	191.8968467
-2.37E+01	192.4686763
-2.38E+01	193.039937
-2.39E+01	193.6106226
-2.40E+01	194.1807587
-2.41E+01	194.7503232
-2.42E+01	195.3193415
-2.43E+01	195.8877913
-2.44E+01	196.4556977
-2.45E+01	197.0230699
-2.46E+01	197.5898853
-2.47E+01	198.156153
-2.48E+01	198.7218977
-2.49E+01	199.2870964
-2.50E+01	199.851758
-2.51E+01	200.4159069
-2.52E+01	200.9795199
-2.53E+01	201.5425895
-2.54E+01	202.1051559
-2.55E+01	202.6671957
-2.56E+01	203.2287169
-2.57E+01	203.7897277
-2.58E+01	204.3502363
-2.59E+01	204.9102185
-2.60E+01	205.4696982
-2.61E+01	206.0286835
-2.62E+01	206.5871495
-2.63E+01	207.1451368
-2.64E+01	207.7026039
-2.65E+01	208.2595911
-2.66E+01	208.8160897
-2.67E+01	209.3720907
-2.68E+01	209.9276016
-2.69E+01	210.4826461
-2.70E+01	211.0371821
-2.71E+01	211.5912497
-2.72E+01	212.1448397
-2.73E+01	212.6979591
-2.74E+01	213.2505983
-2.75E+01	213.8027644
-2.76E+01	214.3544642
-2.77E+01	214.9056878
-2.78E+01	215.4564588
-2.79E+01	216.0067673
-2.80E+01	216.5566198
-2.81E+01	217.1060063
-2.82E+01	217.6549333
-2.83E+01	218.2034072
-2.84E+01	218.7514346
-2.85E+01	219.299005
-2.86E+01	219.8461246
-2.87E+01	220.3927999
-2.88E+01	220.9390369
-2.89E+01	221.484842
-2.90E+01	222.0301874
-2.91E+01	222.575096
-2.92E+01	223.1195909
-2.93E+01	223.663627
-2.94E+01	224.2072444
-2.95E+01	224.7504147
-2.96E+01	225.293178
-2.97E+01	225.8355058
-2.98E+01	226.3774039
-2.99E+01	226.918878
-3.00E+01	227.4599509
-3.01E+01	228.0005766
-3.02E+01	228.5408123
-3.03E+01	229.0806118
-3.04E+01	229.6199978
-3.05E+01	230.1589757
-3.06E+01	230.697551
-3.07E+01	231.2357116
-3.08E+01	231.7734628
-3.09E+01	232.3108099
-3.10E+01	232.8477581
-3.11E+01	233.3842952
-3.12E+01	233.9204437
-3.13E+01	234.4561737
-3.14E+01	234.9915253
-3.15E+01	235.5264862
-3.16E+01	236.0610436
-3.17E+01	236.5952025
-3.18E+01	237.1289677
-3.19E+01	237.6623619
-3.20E+01	238.1953546
-3.21E+01	238.7279681
-3.22E+01	239.2601897
-3.23E+01	239.7920417
-3.24E+01	240.323511
-3.25E+01	240.8545847
-3.26E+01	241.3853028
-3.27E+01	241.9156166
-3.28E+01	242.4455841
-3.29E+01	242.9751562
-3.30E+01	243.5043733
-3.31E+01	244.0332039
-3.32E+01	244.5616704
-3.33E+01	245.0897772
-3.34E+01	245.6175107
-3.35E+01	246.1448753
-3.36E+01	246.6718752
-3.37E+01	247.1985146
-3.38E+01	247.724798
-3.39E+01	248.2507294
-3.40E+01	248.776295
-3.41E+01	249.3014989
-3.42E+01	249.8263451
-3.43E+01	250.3508379
-3.44E+01	250.8749812
-3.45E+01	251.3987792
-3.46E+01	251.9222175
-3.47E+01	252.4453185
-3.48E+01	252.9680678
-3.49E+01	253.4904509
-3.50E+01	254.0125086
-3.51E+01	254.5342263
-3.52E+01	255.0555894
-3.53E+01	255.5766203
-3.54E+01	256.0973042
-3.55E+01	256.6176635
-3.56E+01	257.1376649
-3.57E+01	257.6573491
-3.58E+01	258.1766827
-3.59E+01	258.695688
-3.60E+01	259.2143688
-3.61E+01	259.7327099
-3.62E+01	260.2507149
-3.63E+01	260.7683875
-3.64E+01	261.2857498
-3.65E+01	261.8027869
-3.66E+01	262.3194833
-3.67E+01	262.8358614
-3.68E+01	263.3519058
-3.69E+01	263.8676388
-3.70E+01	264.383045
-3.71E+01	264.8981467
-3.72E+01	265.4129094
-3.73E+01	265.9273743
-3.74E+01	266.441507
-3.75E+01	266.9553296
-3.76E+01	267.4688456
-3.77E+01	267.9820391
-3.78E+01	268.4949134
-3.79E+01	269.0074908
-3.80E+01	269.5197364
-3.81E+01	270.0316915
-3.82E+01	270.5433403
-3.83E+01	271.0546666
-3.84E+01	271.5656929
-3.85E+01	272.0764222
-3.86E+01	272.5868385
-3.87E+01	273.096964
-3.88E+01	273.6067826
-3.89E+01	274.1162973
-3.90E+01	274.6255111
-3.91E+01	275.1344271
-3.92E+01	275.6430482
-3.93E+01	276.1513579
-3.94E+01	276.6593787
-3.95E+01	277.1671135
-3.96E+01	277.6745458
-3.97E+01	278.1816979
-3.98E+01	278.6885338
-3.99E+01	279.1950952
-4.00E+01	279.7013656
-4.01E+01	280.2073478
-4.02E+01	280.713025
