σz	Ms
-1.00E-01	2899.04642
-2.00E-01	2896.483056
-3.00E-01	1423.69007
-4.00E-01	1094.769097
-5.00E-01	961.3646579
-6.00E-01	889.0804956
-7.00E-01	843.7576579
-8.00E-01	812.704679
-9.00E-01	790.1471113
-1.00E+00	778.0977316
-1.10E+00	771.6892741
-1.20E+00	768.9542415
-1.30E+00	768.788102
-1.40E+00	770.4253094
-1.50E+00	773.2941325
-1.60E+00	777.1249766
-1.70E+00	781.6617734
-1.80E+00	786.6992238
-1.90E+00	792.1521239
-2.00E+00	797.9094772
-2.10E+00	803.8908932
-2.20E+00	810.0212292
-2.30E+00	816.2920247
-2.40E+00	822.6593849
-2.50E+00	829.0893631
-2.60E+00	835.5598862
-2.70E+00	842.0385304
-2.80E+00	848.5553043
-2.90E+00	855.0509896
-3.00E+00	861.5416179
-3.10E+00	868.0198013
-3.20E+00	874.4756357
-3.30E+00	880.8893224
-3.40E+00	887.2941719
-3.50E+00	893.648067
-3.60E+00	899.9677587
-3.70E+00	906.2527348
-3.80E+00	912.4983263
-3.90E+00	918.7017284
-4.00E+00	924.8621418
-4.10E+00	930.9674257
-4.20E+00	937.0481462
-4.30E+00	943.0726064
-4.40E+00	949.0545572
-4.50E+00	954.9965718
-4.60E+00	960.8965047
-4.70E+00	966.7527954
-4.80E+00	972.5654483
-4.90E+00	978.3350694
-5.00E+00	984.0623041
-5.10E+00	989.7370862
-5.20E+00	995.3860602
-5.30E+00	1000.984383
-5.40E+00	1006.552864
-5.50E+00	1012.070505
-5.60E+00	1017.548644
-5.70E+00	1022.991354
-5.80E+00	1028.397896
-5.90E+00	1033.76691
-6.00E+00	1039.09811
-6.10E+00	1044.392145
-6.20E+00	1049.649878
-6.30E+00	1054.871997
-6.40E+00	1060.049572
-6.50E+00	1065.205506
-6.60E+00	1070.319991
-6.70E+00	1075.410445
-6.80E+00	1080.458709
-6.90E+00	1085.47311
-7.00E+00	1090.467641
-7.10E+00	1095.421825
-7.20E+00	1100.342527
-7.30E+00	1105.234176
-7.40E+00	1110.097922
-7.50E+00	1114.933135
-7.60E+00	1119.739127
-7.70E+00	1124.515876
-7.80E+00	1129.263851
-7.90E+00	1133.983739
-8.00E+00	1138.676103
-8.10E+00	1143.341403
-8.20E+00	1147.971335
-8.30E+00	1152.585232
-8.40E+00	1157.176294
-8.50E+00	1161.732266
-8.60E+00	1166.269764
-8.70E+00	1170.775742
-8.80E+00	1175.265203
-8.90E+00	1179.723897
-9.00E+00	1184.15699
-9.10E+00	1188.577173
-9.20E+00	1192.967715
-9.30E+00	1197.332467
-9.40E+00	1201.674976
-9.50E+00	1206.00543
-9.60E+00	1210.29904
-9.70E+00	1214.584211
-9.80E+00	1218.83498
-9.90E+00	1223.078785
-1.00E+01	1227.289032
-1.01E+01	1231.483277
-1.02E+01	1235.660284
-1.03E+01	1239.818039
-1.04E+01	1243.955215
-1.05E+01	1248.073139
-1.06E+01	1252.162816
-1.07E+01	1256.240418
-1.08E+01	1260.302683
-1.09E+01	1264.338395
-1.10E+01	1268.3618
-1.11E+01	1272.36924
-1.12E+01	1276.350585
-1.13E+01	1280.319481
-1.14E+01	1284.265108
-1.15E+01	1288.200724
-1.16E+01	1292.113876
-1.17E+01	1296.016477
-1.18E+01	1299.896514
-1.19E+01	1303.765424
-1.20E+01	1307.612123
-1.21E+01	1311.448033
-1.22E+01	1315.262447
-1.23E+01	1319.058702
-1.24E+01	1322.848521
-1.25E+01	1326.61862
-1.26E+01	1330.370914
-1.27E+01	1334.115608
-1.28E+01	1337.840462
-1.29E+01	1341.547528
-1.30E+01	1345.239294
-1.31E+01	1348.92579
-1.32E+01	1352.58596
-1.33E+01	1356.243128
-1.34E+01	1359.883247
-1.35E+01	1363.507065
-1.36E+01	1367.115989
-1.37E+01	1370.711399
-1.38E+01	1374.294205
-1.39E+01	1377.864595
-1.40E+01	1381.422492
-1.41E+01	1384.967815
-1.42E+01	1388.500071
-1.43E+01	1392.019174
-1.44E+01	1395.525171
-1.45E+01	1399.018507
-1.46E+01	1402.49935
-1.47E+01	1405.967865
-1.48E+01	1409.424344
-1.49E+01	1412.868807
-1.50E+01	1416.293513
-1.51E+01	1419.720272
-1.52E+01	1423.126898
-1.53E+01	1426.52408
-1.54E+01	1429.911407
-1.55E+01	1433.280117
-1.56E+01	1436.642544
-1.57E+01	1439.997197
-1.58E+01	1443.334153
-1.59E+01	1446.66501
-1.60E+01	1449.987616
-1.61E+01	1453.292619
-1.62E+01	1456.590763
-1.63E+01	1459.872581
-1.64E+01	1463.149814
-1.65E+01	1466.419787
-1.66E+01	1469.673205
-1.67E+01	1472.919796
-1.68E+01	1476.150807
-1.69E+01	1479.376571
-1.70E+01	1482.587834
-1.71E+01	1485.794759
-1.72E+01	1488.987466
-1.73E+01	1492.175824
-1.74E+01	1495.34972
-1.75E+01	1498.518607
-1.76E+01	1501.673171
-1.77E+01	1504.822702
-1.78E+01	1507.958037
-1.79E+01	1511.080908
-1.80E+01	1514.20208
-1.81E+01	1517.310882
-1.82E+01	1520.416394
-1.83E+01	1523.508612
-1.84E+01	1526.588357
-1.85E+01	1529.665295
-1.86E+01	1532.729713
-1.87E+01	1535.782669
-1.88E+01	1538.834032
-1.89E+01	1541.873365
-1.90E+01	1544.901589
-1.91E+01	1547.928025
-1.92E+01	1550.942399
-1.93E+01	1553.94575
-1.94E+01	1556.939234
-1.95E+01	1559.932486
-1.96E+01	1562.9149
-1.97E+01	1565.886752
-1.98E+01	1568.84906
-1.99E+01	1571.810906
-2.00E+01	1574.761735
-2.01E+01	1577.702062
-2.02E+01	1580.632896
-2.03E+01	1583.555116
-2.04E+01	1586.478228
-2.05E+01	1589.39124
-2.06E+01	1592.294285
-2.07E+01	1595.187988
-2.08E+01	1598.073338
-2.09E+01	1600.958798
-2.10E+01	1603.834294
-2.11E+01	1606.700076
-2.12E+01	1609.556881
-2.13E+01	1612.405439
-2.14E+01	1615.246843
-2.15E+01	1618.089731
-2.16E+01	1620.923481
-2.17E+01	1623.747843
-2.18E+01	1626.563301
-2.19E+01	1629.370451
-2.20E+01	1632.170254
-2.21E+01	1634.963419
-2.22E+01	1637.758387
-2.23E+01	1640.54449
-2.24E+01	1643.321596
-2.25E+01	1646.089933
-2.26E+01	1648.850208
-2.27E+01	1651.603245
-2.28E+01	1654.349983
-2.29E+01	1657.090756
-2.30E+01	1659.826258
-2.31E+01	1662.556458
-2.32E+01	1665.281205
-2.33E+01	1668.000232
-2.34E+01	1670.713267
-2.35E+01	1673.419925
-2.36E+01	1676.120055
