σz	Ms
-1.00E-01	1891.196121
-2.00E-01	1866.212008
-3.00E-01	849.3054182
-4.00E-01	665.9436184
-5.00E-01	589.3507757
-6.00E-01	547.145324
-7.00E-01	520.48046
-8.00E-01	502.1048234
-9.00E-01	490.5553648
-1.00E+00	484.1389074
-1.10E+00	480.6350395
-1.20E+00	479.1039224
-1.30E+00	478.9096656
-1.40E+00	479.6389662
-1.50E+00	481.0741732
-1.60E+00	482.9841368
-1.70E+00	485.2750702
-1.80E+00	487.8480837
-1.90E+00	490.6172675
-2.00E+00	493.5536708
-2.10E+00	496.6116894
-2.20E+00	499.7567434
-2.30E+00	502.9546618
-2.40E+00	506.2058731
-2.50E+00	509.4919886
-2.60E+00	512.7974218
-2.70E+00	516.11227
-2.80E+00	519.4208776
-2.90E+00	522.7322465
-3.00E+00	526.0396002
-3.10E+00	529.3354912
-3.20E+00	532.6158554
-3.30E+00	535.878529
-3.40E+00	539.1142961
-3.50E+00	542.341424
-3.60E+00	545.5384096
-3.70E+00	548.7134042
-3.80E+00	551.8670024
-3.90E+00	554.9971667
-4.00E+00	558.1024873
-4.10E+00	561.1758227
-4.20E+00	564.2342773
-4.30E+00	567.2612255
-4.40E+00	570.2635452
-4.50E+00	573.2429892
-4.60E+00	576.1986589
-4.70E+00	579.1296652
-4.80E+00	582.0358844
-4.90E+00	584.9176804
-5.00E+00	587.7693728
-5.10E+00	590.6060632
-5.20E+00	593.4143921
-5.30E+00	596.2057042
-5.40E+00	598.9682971
-5.50E+00	601.7080259
-5.60E+00	604.4274744
-5.70E+00	607.1266055
-5.80E+00	609.8046858
-5.90E+00	612.4614097
-6.00E+00	615.0970276
-6.10E+00	617.7120359
-6.20E+00	620.301392
-6.30E+00	622.8780744
-6.40E+00	625.4313889
-6.50E+00	627.9710275
-6.60E+00	630.4868476
-6.70E+00	632.983026
-6.80E+00	635.4676949
-6.90E+00	637.9297497
-7.00E+00	640.3726017
-7.10E+00	642.7987348
-7.20E+00	645.2089872
-7.30E+00	647.6031807
-7.40E+00	649.98101
-7.50E+00	652.3422173
-7.60E+00	654.6871552
-7.70E+00	657.0160957
-7.80E+00	659.3243852
-7.90E+00	661.6230333
-8.00E+00	663.9088447
-8.10E+00	666.1745747
-8.20E+00	668.4293638
-8.30E+00	670.6659907
-8.40E+00	672.8928481
-8.50E+00	675.1021072
-8.60E+00	677.2964405
-8.70E+00	679.4832834
-8.80E+00	681.6533316
-8.90E+00	683.8085431
-9.00E+00	685.9508277
-9.10E+00	688.0860546
-9.20E+00	690.2005032
-9.30E+00	692.309771
-9.40E+00	694.3996081
-9.50E+00	696.4851766
-9.60E+00	698.5519237
-9.70E+00	700.6092339
-9.80E+00	702.6567452
-9.90E+00	704.6933932
-1.00E+01	706.7185257
-1.01E+01	708.7273173
-1.02E+01	710.728736
-1.03E+01	712.7215327
-1.04E+01	714.6994644
-1.05E+01	716.6703251
-1.06E+01	718.6322286
-1.07E+01	720.5792865
-1.08E+01	722.5199086
-1.09E+01	724.4472982
-1.10E+01	726.3682367
-1.11E+01	728.276114
-1.12E+01	730.1776014
-1.13E+01	732.0663187
-1.14E+01	733.9486871
-1.15E+01	735.8186943
-1.16E+01	737.6780109
-1.17E+01	739.5333747
-1.18E+01	741.3774504
-1.19E+01	743.2113576
-1.20E+01	745.0407758
-1.21E+01	746.8589489
-1.22E+01	748.6668361
-1.23E+01	750.4657464
-1.24E+01	752.2613948
-1.25E+01	754.0421788
-1.26E+01	755.8209914
-1.27E+01	757.590264
-1.28E+01	759.3503165
-1.29E+01	761.1017757
-1.30E+01	762.8453922
-1.31E+01	764.5816816
-1.32E+01	766.3108391
-1.33E+01	768.0329665
-1.34E+01	769.7478524
-1.35E+01	771.4554622
-1.36E+01	773.1556273
-1.37E+01	774.8483984
-1.38E+01	776.5338668
-1.39E+01	778.2121645
-1.40E+01	779.8790318
-1.41E+01	781.5466309
-1.42E+01	783.2027499
-1.43E+01	784.8535343
-1.44E+01	786.4986582
-1.45E+01	788.1331712
-1.46E+01	789.7637957
-1.47E+01	791.3898933
-1.48E+01	793.0058598
-1.49E+01	794.618142
-1.50E+01	796.2256357
-1.51E+01	797.823158
-1.52E+01	799.4165942
-1.53E+01	801.0007379
-1.54E+01	802.5819792
-1.55E+01	804.1590901
-1.56E+01	805.726817
-1.57E+01	807.2905847
-1.58E+01	808.8454934
-1.59E+01	810.3972644
-1.60E+01	811.9406839
-1.61E+01	813.4816032
-1.62E+01	815.0143759
-1.63E+01	816.5446166
-1.64E+01	818.0667447
