σz	Ms
-1.00E-01	2683.277946
-2.00E-01	2682.32677
-3.00E-01	1286.143637
-4.00E-01	948.0126231
-5.00E-01	818.8723613
-6.00E-01	751.334351
-7.00E-01	709.8989661
-8.00E-01	681.8262204
-9.00E-01	661.5751841
-1.00E+00	647.8208247
-1.10E+00	639.5895835
-1.20E+00	634.7059767
-1.30E+00	632.1073789
-1.40E+00	631.1619439
-1.50E+00	631.381026
-1.60E+00	632.4927413
-1.70E+00	634.2662096
-1.80E+00	636.5221336
-1.90E+00	639.1827073
-2.00E+00	642.1389907
-2.10E+00	645.307917
-2.20E+00	648.6670026
-2.30E+00	652.1704488
-2.40E+00	655.7809399
-2.50E+00	659.4723857
-2.60E+00	663.213704
-2.70E+00	667.0085374
-2.80E+00	670.8402353
-2.90E+00	674.6933147
-3.00E+00	678.547383
-3.10E+00	682.4237128
-3.20E+00	686.2874534
-3.30E+00	690.1475065
-3.40E+00	694.0011257
-3.50E+00	697.8426613
-3.60E+00	701.6588072
-3.70E+00	705.4711788
-3.80E+00	709.2542222
-3.90E+00	713.0169489
-4.00E+00	716.7600211
-4.10E+00	720.4808201
-4.20E+00	724.1771864
-4.30E+00	727.8482598
-4.40E+00	731.4857831
-4.50E+00	735.1095235
-4.60E+00	738.7002745
-4.70E+00	742.265362
-4.80E+00	745.8068177
-4.90E+00	749.3236398
-5.00E+00	752.8145818
-5.10E+00	756.2792532
-5.20E+00	759.7178986
-5.30E+00	763.1235765
-5.40E+00	766.5139794
-5.50E+00	769.8736191
-5.60E+00	773.2156124
-5.70E+00	776.5259846
-5.80E+00	779.8112147
-5.90E+00	783.074412
-6.00E+00	786.3156852
-6.10E+00	789.5341016
-6.20E+00	792.7290989
-6.30E+00	795.9007724
-6.40E+00	799.0496204
-6.50E+00	802.1761632
-6.60E+00	805.2742634
-6.70E+00	808.3588065
-6.80E+00	811.417668
-6.90E+00	814.4619836
-7.00E+00	817.4798302
-7.10E+00	820.475756
-7.20E+00	823.4593693
-7.30E+00	826.4178761
-7.40E+00	829.3548862
-7.50E+00	832.2732207
-7.60E+00	835.1739578
-7.70E+00	838.0569816
-7.80E+00	840.92179
-7.90E+00	843.7681373
-8.00E+00	846.5961617
-8.10E+00	849.4062315
-8.20E+00	852.1926954
-8.30E+00	854.9684825
-8.40E+00	857.730131
-8.50E+00	860.4690168
-8.60E+00	863.1957145
-8.70E+00	865.9016873
-8.80E+00	868.5967149
-8.90E+00	871.271667
-9.00E+00	873.9355708
-9.10E+00	876.5796133
-9.20E+00	879.2069095
-9.30E+00	881.8260208
-9.40E+00	884.4266949
-9.50E+00	887.010957
-9.60E+00	889.5807851
-9.70E+00	892.1373726
-9.80E+00	894.6810663
-9.90E+00	897.2117107
-1.00E+01	899.7288217
-1.01E+01	902.2321581
-1.02E+01	904.7219568
-1.03E+01	907.1982837
-1.04E+01	909.661515
-1.05E+01	912.1120136
-1.06E+01	914.5499724
-1.07E+01	916.9699166
-1.08E+01	919.3880553
-1.09E+01	921.7872016
-1.10E+01	924.1762922
-1.11E+01	926.5489582
-1.12E+01	928.9147182
-1.13E+01	931.2715037
-1.14E+01	933.6118445
-1.15E+01	935.9439169
-1.16E+01	938.2608962
-1.17E+01	940.5709491
-1.18E+01	942.8665989
-1.19E+01	945.1555615
-1.20E+01	947.4304029
-1.21E+01	949.6927352
-1.22E+01	951.9504568
-1.23E+01	954.1951422
-1.24E+01	956.4279207
-1.25E+01	958.6556366
-1.26E+01	960.8703838
-1.27E+01	963.0731224
-1.28E+01	965.2654506
-1.29E+01	967.4541669
-1.30E+01	969.6254389
-1.31E+01	971.7946614
-1.32E+01	973.9528126
-1.33E+01	976.1002227
-1.34E+01	978.237715
-1.35E+01	980.3659568
-1.36E+01	982.4856048
-1.37E+01	984.5970217
-1.38E+01	986.7002107
-1.39E+01	988.795102
-1.40E+01	990.8815541
-1.41E+01	992.9593548
-1.42E+01	995.028571
-1.43E+01	997.0891968
-1.44E+01	999.1414322
-1.45E+01	1001.185404
-1.46E+01	1003.221371
-1.47E+01	1005.244092
-1.48E+01	1007.267914
-1.49E+01	1009.278384
-1.50E+01	1011.282883
-1.51E+01	1013.280823
-1.52E+01	1015.266536
-1.53E+01	1017.247735
-1.54E+01	1019.223684
-1.55E+01	1021.188004
-1.56E+01	1023.148136
-1.57E+01	1025.102876
-1.58E+01	1027.046022
-1.59E+01	1028.984487
-1.60E+01	1030.912225
-1.61E+01	1032.836503
-1.62E+01	1034.756183
-1.63E+01	1036.664931
-1.64E+01	1038.569166
-1.65E+01	1040.46304
-1.66E+01	1042.353327
-1.67E+01	1044.233872
-1.68E+01	1046.111538
-1.69E+01	1047.979932
-1.70E+01	1049.84562
-1.71E+01	1051.701912
-1.72E+01	1053.554826
-1.73E+01	1055.398283
-1.74E+01	1057.233069
-1.75E+01	1059.066178
-1.76E+01	1060.890727
-1.77E+01	1062.713038
-1.78E+01	1064.526578
-1.79E+01	1066.331858
-1.80E+01	1068.135345
-1.81E+01	1069.930605
-1.82E+01	1071.718141
-1.83E+01	1073.504495
-1.84E+01	1075.282893
-1.85E+01	1077.053891
-1.86E+01	1078.823484
-1.87E+01	1080.585189
-1.88E+01	1082.339433
-1.89E+01	1084.087008
-1.90E+01	1085.834286
-1.91E+01	1087.574394
-1.92E+01	1089.307561
-1.93E+01	1091.034321
-1.94E+01	1092.760742
-1.95E+01	1094.480066
-1.96E+01	1096.192454
-1.97E+01	1097.898372
-1.98E+01	1099.598524
-1.99E+01	1101.298974
-2.00E+01	1102.992778
-2.01E+01	1104.680151
-2.02E+01	1106.361364
-2.03E+01	1108.03687
-2.04E+01	1109.712487
-2.05E+01	1111.381577
-2.06E+01	1113.04435
-2.07E+01	1114.701071
-2.08E+01	1116.352242
-2.09E+01	1117.998541
-2.10E+01	1119.645595
-2.11E+01	1121.286714
-2.12E+01	1122.92186
-2.13E+01	1124.551169
-2.14E+01	1126.175077
-2.15E+01	1127.793952
-2.16E+01	1129.40834
-2.17E+01	1131.023731
-2.18E+01	1132.633515
-2.19E+01	1134.237412
-2.20E+01	1135.835731
-2.21E+01	1137.42866
-2.22E+01	1139.016736
-2.23E+01	1140.600376
-2.24E+01	1142.179993
-2.25E+01	1143.755939
-2.26E+01	1145.328388
-2.27E+01	1146.897282
-2.28E+01	1148.462561
-2.29E+01	1150.024053
-2.30E+01	1151.581582
-2.31E+01	1153.134977
-2.32E+01	1154.684065
-2.33E+01	1156.228848
-2.34E+01	1157.769325
-2.35E+01	1159.305553
-2.36E+01	1160.83759
-2.37E+01	1162.36566
-2.38E+01	1163.88982
-2.39E+01	1165.410291
-2.40E+01	1166.927013
-2.41E+01	1168.440094
-2.42E+01	1169.949527
-2.43E+01	1171.455308
-2.44E+01	1172.957428
-2.45E+01	1174.455882
-2.46E+01	1175.950549
-2.47E+01	1177.44148
-2.48E+01	1178.928722
-2.49E+01	1180.412267
-2.50E+01	1181.892108
-2.51E+01	1183.368347
-2.52E+01	1184.841031
-2.53E+01	1186.31015
-2.54E+01	1187.775804
-2.55E+01	1189.238039
-2.56E+01	1190.696788
-2.57E+01	1192.152151
-2.58E+01	1193.604059
-2.59E+01	1195.052611
-2.60E+01	1196.497796
-2.61E+01	1197.939544
-2.62E+01	1199.377953
-2.63E+01	1200.81301
-2.64E+01	1202.2447
-2.65E+01	1203.67312
-2.66E+01	1205.098254
-2.67E+01	1206.520143
-2.68E+01	1207.938826
-2.69E+01	1209.354234
-2.70E+01	1210.766513
-2.71E+01	1212.175593
-2.72E+01	1213.581566
-2.73E+01	1214.984362
-2.74E+01	1216.384018
-2.75E+01	1217.780571
-2.76E+01	1219.174056
-2.77E+01	1220.564458
-2.78E+01	1221.95181
-2.79E+01	1223.336096
-2.80E+01	1224.717351
-2.81E+01	1226.095608
-2.82E+01	1227.470903
-2.83E+01	1228.843164
-2.84E+01	1230.21253
-2.85E+01	1231.578928
-2.86E+01	1232.942446
-2.87E+01	1234.30301
-2.88E+01	1235.660705
-2.89E+01	1237.015563
-2.90E+01	1238.367512
-2.91E+01	1239.716636
-2.92E+01	1241.062913
-2.93E+01	1242.406374
-2.94E+01	1243.746999
-2.95E+01	1245.084869
-2.96E+01	1246.420016
-2.97E+01	1247.752365
-2.98E+01	1249.081946
-2.99E+01	1250.40884
-3.00E+01	1251.733024
-3.01E+01	1253.054476
-3.02E+01	1254.373277
-3.03E+01	1255.689402
-3.04E+01	1257.002829
-3.05E+01	1258.313637
-3.06E+01	1259.621802
-3.07E+01	1260.927404
-3.08E+01	1262.230367
-3.09E+01	1263.530717
-3.10E+01	1264.828534
-3.11E+01	1266.12374
-3.12E+01	1267.416414
-3.13E+01	1268.706531
-3.14E+01	1269.994167
-3.15E+01	1271.279247
-3.16E+01	1272.561847
-3.17E+01	1273.841941
-3.18E+01	1275.119606
-3.19E+01	1276.394763
-3.20E+01	1277.66749
-3.21E+01	1278.93776
-3.22E+01	1280.205596
-3.23E+01	1281.471024
-3.24E+01	1282.734016
-3.25E+01	1283.994647
-3.26E+01	1285.25289
-3.27E+01	1286.508768
-3.28E+01	1287.762305
-3.29E+01	1289.013472
-3.30E+01	1290.262293
-3.31E+01	1291.50879
-3.32E+01	1292.752986
-3.33E+01	1293.994854
-3.34E+01	1295.234464
-3.35E+01	1296.471789
-3.36E+01	1297.706801
-3.37E+01	1298.939572
-3.38E+01	1300.170122
-3.39E+01	1301.398424
-3.40E+01	1302.624447
-3.41E+01	1303.848314
-3.42E+01	1305.069945
-3.43E+01	1306.289361
-3.44E+01	1307.506631
-3.45E+01	1308.721678
-3.46E+01	1309.93457
-3.47E+01	1311.145279
-3.48E+01	1312.353873
-3.49E+01	1313.560324
-3.50E+01	1314.764649
-3.51E+01	1315.96682
-3.52E+01	1317.166906
-3.53E+01	1318.364924
-3.54E+01	1319.560796
-3.55E+01	1320.754591
-3.56E+01	1321.946325
-3.57E+01	1323.13597
-3.58E+01	1324.323592
-3.59E+01	1325.509162
-3.60E+01	1326.692696
-3.61E+01	1327.874164
-3.62E+01	1329.053683
-3.63E+01	1330.231122
-3.64E+01	1331.406598
-3.65E+01	1332.580079
-3.66E+01	1333.751534
-3.67E+01	1334.921077
-3.68E+01	1336.08858
-3.69E+01	1337.254158
-3.70E+01	1338.417826
-3.71E+01	1339.579505
-3.72E+01	1340.73926
-3.73E+01	1341.897059
-3.74E+01	1343.052967
-3.75E+01	1344.206952
-3.76E+01	1345.35903
-3.77E+01	1346.509266
-3.78E+01	1347.657579
-3.79E+01	1348.803985
-3.80E+01	1349.948547
-3.81E+01	1351.091235
-3.82E+01	1352.23211
-3.83E+01	1353.371094
-3.84E+01	1354.508248
-3.85E+01	1355.643541
-3.86E+01	1356.777082
-3.87E+01	1357.908745
-3.88E+01	1359.038591
-3.89E+01	1360.166683
-3.90E+01	1361.292941
-3.91E+01	1362.417426
-3.92E+01	1363.540106
-3.93E+01	1364.661043
-3.94E+01	1365.780204
-3.95E+01	1366.897602
-3.96E+01	1368.013252
-3.97E+01	1369.127169
-3.98E+01	1370.239318
-3.99E+01	1371.349761
-4.00E+01	1372.458464
-4.01E+01	1373.565442
-4.02E+01	1374.670707
-4.03E+01	1375.774274
-4.04E+01	1376.876156
-4.05E+01	1377.976318
-4.06E+01	1379.074822
-4.07E+01	1380.171634
-4.08E+01	1381.266813
-4.09E+01	1382.360278
-4.10E+01	1383.452091
-4.11E+01	1384.542263
-4.12E+01	1385.630807
-4.13E+01	1386.717689
-4.14E+01	1387.802922
-4.15E+01	1388.886565
-4.16E+01	1389.968537
-4.17E+01	1391.048944
-4.18E+01	1392.127704
-4.19E+01	1393.204878
-4.20E+01	1394.280476
-4.21E+01	1395.354464
-4.22E+01	1396.426855
-4.23E+01	1397.49766
-4.24E+01	1398.566937
-4.25E+01	1399.634606
-4.26E+01	1400.700725
-4.27E+01	1401.765305
-4.28E+01	1402.828312
-4.29E+01	1403.889802
-4.30E+01	1404.949742
-4.31E+01	1406.008144
-4.32E+01	1407.065017
-4.33E+01	1408.120373
-4.34E+01	1409.174224
-4.35E+01	1410.226535
-4.36E+01	1411.277362
-4.37E+01	1412.326716
-4.38E+01	1413.374518
-4.39E+01	1414.420868
-4.40E+01	1415.465732
-4.41E+01	1416.509122
-4.42E+01	1417.551046
-4.43E+01	1418.591471
-4.44E+01	1419.630452
